subject_num,gender,angle,time,response,expected_answer,correct,false_positive,false_negative,source,axis,axis_difficulty,num_of_repeats,encoding_time,landmarking_time,rotation_time,decision_time
1,male,0,1.646,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.1,0.134,0.761
1,male,45,2.384,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.15,0.884,0.698
1,male,0,1.496,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.1,0.134,0.711
1,male,180,3.327,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.294,1.334,1.148
1,male,180,4.001,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.262,2.084,1.004
1,male,180,3.679,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.333,1.634,1.061
1,male,90,2.384,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.189,0.734,0.91
1,male,90,2.63,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.218,0.884,0.976
1,male,0,1.646,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.1,0.134,0.761
1,male,180,6.447,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.307,4.184,1.305
1,male,0,1.496,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.1,0.134,0.711
1,male,0,1.646,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.1,0.134,0.761
1,male,0,1.646,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.1,0.134,0.761
1,male,180,5.039,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.277,3.134,0.977
1,male,0,1.496,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.1,0.134,0.711
1,male,45,2.46,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.165,0.884,0.76
1,male,180,2.994,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.238,1.184,1.021
1,male,0,1.646,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.1,0.134,0.761
1,male,90,6.617,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.18,4.784,1.001
1,male,45,2.057,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.134,0.584,0.787
1,male,90,2.736,same,same,1,0,0,model,[0 0 1],0.0,2,0.551,0.18,1.184,0.721
1,male,0,1.646,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.1,0.134,0.761
1,male,135,3.076,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.203,1.484,0.738
1,male,135,3.617,same,same,1,0,0,model,[0 0 1],0.0,1,0.551,0.225,1.484,1.308
1,male,135,4.586,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.277,2.384,1.273
1,male,90,3.632,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.184,1.784,1.013
